id,example,term,pos,sense_id,definition,ANNOTATION,DEFICIENT SENTENCE
30,The only difference between an airhead and a beachhead is that an airhead covers 360 degrees whereas a beachhead usually covers 180 degrees. An airhead is two beachheads back to back with the reinforcements and resupply coming by air instead of by sea. [...] [T]o handle their mountainous proportions there must be in the airhead a sufficient number of trained and equipped airhead service troops.,airhead,noun,1,An area of hostile territory that has been seized for use as an airbase to ensure the further safe landing of troops and materiel.,,
3177,The Beaus...At night make a Punk of him that's first drunk.,punk,noun,1,"A person used for sex, particularly:",,
4228,"What, I suppose, Mr. Loader, you will be for your old friend the black ey'd girl, from Rosemary Lane. Ha ha! Well, 'tis a merry little tit. A thousand pities she's such a reprobate!",tit,noun,9,"A young girl, later especially a minx, hussy.",,
3135,"Her clothes were not at all unusual or fashionable, a plain slate-blue dress and a magenta cardigan sweater with a somewhat prissy line of pearl buttons down the front.",prissy,adjective,2, Very feminine or dressy.,,
2879,Ratatouille? It's a peasant dish. Are you sure you want to serve this to Ego?,peasant,adjective,1,Characteristic of or relating to a peasant or peasants; unsophisticated.,,
4444,"During the 1930s and ’40s and ’50s, the right had derided liberal writers and editors as Communists’ “useful idiots,” unwittingly doing the Communists’ propaganda work; it looks in retrospect as if, starting in the 1970s, a lot of them—of us—became capitalists’ useful idiots.",useful idiot,noun,1,"Communist sympathizer in Western countries, from the perspective of the political right.",,
1925,All you greenhorns who wanted to see Covenant up close...this is gonna be your lucky day.,greenhorn,noun,1,"an inexperienced person; a novice, beginner or newcomer",,
3441,"I′ve told Fred we can see a movie this weekend, but that just seems like a money-wasting activity. And I can′t keep scabbing off my best friend.",scab,verb,5,"To beg (for), to cadge or bum.",,
2471,"I too abandoned those groups. Granted, I was one who had my mind made up for the most part, but not entirely. I just grew frustrated with the kindergarten sophistry, mall ninja bravado, and so on.",mall ninja,noun,1,"A person who claims to be an expert on weaponry, often to the point of disdaining popular weapons and preferring expensive and exotic ones along with equally expensive accessories, and likes to brag about their supposed expertise, but often exposes their ignorance in discussions, sometimes making improbable claims about their experience or weapon use.",,
4095,A canister of flour from the kitchen had been thrown at the looking-glass and lay like trampled snow over the remains of a decent blue suit with the lining ripped out which lay on top of the ruin of a plastic wardrobe.,suit,noun,1,"A set of clothes to be worn together, now especially a man's matching jacket and trousers (also business suit or lounge suit), or a similar outfit for a woman.",,
4013,"Press the fifty squid button – ""Insufficient funds"". […] A thousandth of a million squid or two monkeys / Or a whole fifty scores",squid,noun,4,A quid; one pound sterling.,,
694,The clam of death.,clam,noun,11,clamminess; moisture,,
2771,"I loved it when the Obamatons started chanting ""Yes we can yes we can yeswe can"" in the middle of it as if it were some sort of religious ritual.",Obamaton,noun,1,A person who follows U.S. president Barack Obama blindly.,,
1188,"In marriage, let frivolous and light-minded women gravitate to inferior men; and let the "" Dude"" mate with the ""Dudelet."" But I insist that pure and noble women shall be saved from marriage with impure and ignoble men.",dudelet,noun,3,A fashionable young woman.,,
189,"> Most of the changes in the world happen because someone thinks of an idea and wants to make money out of it.No, that's how those ""cottage industries"", to use your words, get started. The crap begins when some bastich in a suit sees that the small entrepreneur is making money, and wants in on the deal: ""I see your idea is working, and I want a piece of it, so I'll play organizer for you in exchange for the lion's share of the profits. Unless, of course, you WANT to stay small forever - we can make sure you stay THAT way, too."" The person who actually ""thought of the idea"" in the first place eventually becomes inconsequential in terms of the money-making engine.",bastich,noun,1,An obnoxious or contemptible person.,,
1624,His long nights in the office eventually bore fruit when his business boomed and he was given a raise.,fruit,noun,3,"An end result, effect, or consequence; advantageous or disadvantageous result.",,
1999,"The Garda sergeant wanted to know the distinction between a Gouger and a Gurrier. Mr. Howard, who was a true-blue Dubliner, supplied the answer: ""A Gurrier is a little man cut short, a mickey dazzler. He cuts a dash among the girls and is always willing and able to strike a blow for a pal. But our Gurrier, unlike the Gouger, never gets into trouble with the police.""",gurrier,noun,2,A loutish young man; a ruffian. [from 1950s],,
2474,"A compound bow is much better [than a crossbow] in every respect, expect maybe for exciting those mall ninjas who, when they are not watching The Walking Dead, hide in their mom's basement and fantasize about Lara Croft.",mall ninja,noun,1,"A person who claims to be an expert on weaponry, often to the point of disdaining popular weapons and preferring expensive and exotic ones along with equally expensive accessories, and likes to brag about their supposed expertise, but often exposes their ignorance in discussions, sometimes making improbable claims about their experience or weapon use.",,
1098,"As a dirtsider, the idea of dying in the cold of space terrified him, though he'd never admit it to his space-loving mate.",dirtsider,noun,1,"Someone who lives on the surface of a planet or moon, as opposed to in space.",,
4057,"If I was acting particularly spacey, my mother would ask, “Are you stunod?”",stunod,adjective,1,Stupid or crazy; out of touch with reality.,,
2694,"I moved my hands up a little more and discovered, to put it delicately, the object of my desire left much to be desired. In not so delicate terms, fully erect—and I mean as hard as a diamond—his dick was about half as long as a bun-length hot dog, with about the same girth as said hot dog. I had heard the term needle dick before, but I swear, I had never encountered one.",needle dick,noun,1,A tiny penis.,,
1210,"The initial result of the rational ecofreak policies would be that the level of measured income would fall, or at least rise less rapidly...",ecofreak,noun,1,A person with a passion for protecting the natural environment; an ecological activist.,,
2056,"[W]e know how the life of any hack, legal or literary, in a curacy, or in a marching regiment, or at a merchant’s desk, is dull of routine, and tedious of description.",hack,noun,28,"A person, often a journalist, hired to do routine work. [from 17th c.]",,
2720,politically correct green  nimbies ,nimby,noun,1,"Someone who objects to the building of an undesirable structure in their neighborhood, especially in public policy debate.",,
3899,"The other night, Jackson's on the radio asking if anybody in the area has seen two spearchuckers winging it off on foot with a pile of nigger clothes in their hands. Jesus Christ. Spearchuckers? Niggers? The guy's KKK material.",spearchucker,noun,1,A black (African or African-American) person.,,
598,"But you must not like him because he appointed Judge Jones, who ruled against the cdesign proponentsists, calling their nonsense ""breathtaking inanity.""",cdesign proponentsist,noun,1,A creationist.,,
1877,at some point you'll incur the wrath of him or his Glincels.,Glincel,noun,1,A fervent defender of Graham Linehan and/or supporter of his views on transgender people.,,
494,"Neither should we think that Bunny Boilers are always female—this is not the case. However, I think females view the male version in a different light. [...] Women regard him as the cheeky chappie. They seem resigned to his bad behaviour.",bunny boiler,noun,1,"A person who acts (or may supposedly act) obsessively or even dangerously towards another person with whom they were previously, or wish to be, in a relationship. [from 1990]",,
2484,Bring forth Men-Children onely: / For thy vndaunted Mettle ſhould compoſe / Nothing but Males.,man child,noun,1,A young male human; a boy.,,
3010,The black sow pigged at seven this morning.,pig,verb,1,To give birth.,,
3969,The foundation has to be level and the framing has to be square.,square,adjective,2,Forming a right angle (90°).,,
4360,"Until fairly recently, even the idea of a MBS connection was dismissed by Western medicine as the province of New Age tree huggers, so it had very little mainstream credibility.",tree hugger,noun,2,A hippie.(Can we add an example for this sense?),,
730,"Stop posting binaries here, you bloated cocksack!",cocksack,noun,2,A term of abuse.,,
3346,I accidentally took some rando's luggage from the airport carousel.,rando,noun,1,An arbitrary person with whom one has no shared social connection.,,
825,Brothers and the whiteys / Blacks and the crackers / Police and their backers / They're all political actors,cracker,noun,11,"An impoverished white person from the southeastern United States, originally associated with Georgia and parts of Florida; (by extension) any white person.",,
2749,But particular men are not stereotyped for jobs nor particular desks  to sit at - the standard here is nonce.,nonce,adjective,1,One-off; produced or created for a single occasion or use. Denoting something occurring once.,,
4118,He is well suited with his place.,suit,verb,5,To please; to make content; to fit one's taste.,,
715,Clintonoid liberals have their own narratives that minimize the lessons to be drawn from Trump's victory.,Clintonoid,adjective,1,Clintonian: relating to or supporting Bill or Hillary Clinton.,,
2423,"Excuse me,’ I said. ‘Marcelonas? Is that your name, Doyle Marcelonas?'‘Marcelunis,’ he said.‘That's a real Chicago name,’ I said. ‘Right?’‘Marquette Park,’ he said.‘A South Side boy,’ I said.‘South Side loogan,’ he said. ‘Grew up in Marquette Park and I live in Beverly now.’I thought I had him sidetracked. Loogan meant he was Lithuanian, and I wanted to take the conversation in that direction. Didn't get the chance.",loogan,noun,2,A Lithuanian.,,
3562,"You’ve Got Mail is certainly the basic model for the plot, which finds corporate candy shill Joel  and indie-sweetshop owner Molly  regaling their dinner companions with the very long, digressive story of how they met and fell in love.",shill,noun,1,A person paid to endorse a product while pretending to be impartial.,,
1704,"So when he saw King Arthur he said: ""Thou knave! Wherefore didst thou quit thy work to go a-gadding?""",gad,verb,1,To move from one location to another in an apparently random and frivolous manner.,,
1440,"The fellows [of Magdalene College, Cambridge] were, by the statutes which their founder had drawn up, empowered to select their own president from among persons who were, or had been, fellows either of their society or of New College.",fellow,noun,5,Often in the form Fellow: academic senses.,,
759,">and its trading wealth was derived from the artificial situation created by China and Britain.Yeah, the ""artificial situation"" of not buying into a lot of Erbypoo's favorite communazi theft schemes.",communazi,adjective,1,Communist.,,
3034,"He'd be on her ass in a microsecond, revoke her letters testamentary, they'd call her names, proclaim her through all Orange County as a redistributionist and pinko, slip the old man from Warpe, Wistfull, Kubitschek and McMingus in as administrator de bonis non and so much baby for code, constellations, shadow-legatees.",pinko,noun,1,"A socialist, particularly one who is not wholly communist. [from mid-1930s]",,
3061,"The feelings of our heart, the agitation of our passions, the vehemence of our affections, dissipate all its conclusions, and reduce the profound philosopher to a mere plebeian.",plebeian,noun,2,"A commoner, particularly (derogatory) a low, vulgar person.",,
109,"I now also saw that famous beauty, but in my opinion of a childish, simple, and baby face, Mademoiselle Querouaille [Louise de Kérouaille, Duchess of Portsmouth], lately Maide of Honr to Madame, and now to be so to ye Queen.",baby face,noun,1,"A face, often chubby, resembling that of a baby; a youthful face.",,
2538,"The Minx  […]  frequents the water like the Otter, and very much reſembles it in ſhape and color, but is leſs; will abide longer under the water than the muſk quaſh, muſk rat, or little beaver:  […]",mink,noun,1,"Any of various semi-aquatic, carnivorous mammals in the Mustelinae subfamily, similar to weasels, with dark fur, native to Europe and America, of which two species in different genera are extant: the American mink (Neovison vison) and the European mink (Mustela lutreola).",,
1096,He really hadn't been in space before. You can always tell a dirtsider by the twinkle in their eyes at the idea of seeing their planet from above.,dirtsider,noun,1,"Someone who lives on the surface of a planet or moon, as opposed to in space.",,
414,"Hey, you try spending an evening with some back-slapping breeder from out of town, smoking cigars, and talking about pussy.",breeder,noun,5,A heterosexual; i.e. one whose sexual intercourse can lead to breeding.,,
3408,The Righturds don't want to use tax money for Social services benefiting American citizens and bash Obama at every turn when he does.,righturd,noun,1,A person with right-wing political views.,,
3526,Why would you waste any time defending a scumbucket like him?,scumbucket,noun,1,"A sleazy, disreputable or despicable person; a lowlife.",,
3754,"If you slag off the other person, then—to the extent that your child identifies with that person as their parent—you are slagging off a part of them.",slag,verb,4,To talk badly about; to malign or denigrate (someone).,,
1632,a fruit tree,fruit,noun,4,"Of, belonging to, related to, or having fruit or its characteristics; (of living things) producing or consuming fruit.",,
3397,"They were very happy, these poor little folks, to be invited to a dinner party, given by “that rich kid, Alex.”",rich kid,noun,1,"A child, adolescent or young adult from a wealthy family, especially one who flaunts his or her wealth or privilege.",,
3621,"So come on, doc, precisely which kind of sicko is America? You might plump for depressed , psychopathic  or even psychotic .",sicko,noun,2,A mentally ill person.,,
2514,"Although tiny and just two-winged, midgets can bite you till you itch all over your unprotected skin.",midget,noun,1,A little sandfly.,,
270,"“Trash is trash, it all goes to the damn landfill. I'm not going to put up with being called 'bloodmouth' just because I won't fill one of these dumpsters with tofu,” said Rob Gainly, a mall maintenance worker.",bloodmouth,noun,1,A person who eats meat.,,
3876,Don't be such a sook.,sook,noun,5,"A crybaby, a complainer, a whinger; a shy or timid person, a wimp; a coward.",,
884,But the penny was beginning to drop: even a successful railway could be crippled by its capital costs.,cripple,verb,3,To cause severe and disabling damage; to make unable to function normally.,,
2285,"Cause all jocks ever think about is sports, all we ever think about is sex.",jock,noun,7,"An enthusiastic athlete or sports fan, especially one with few other interests, often stereotyped as slow-witted person of large size and great physical strength.",,
4362,"""Hi, dollface,"" he said to me.""Hi, trollface,"" Tracy answered for both of us.",trollface,noun,1,"An ugly, unpleasant, or otherwise objectionable person.",,
2946,That pencil-neck from systems isn't going to tell me what I can't do.,pencil-neck,noun,2,An insubstantial person; a weakling.,,
1540,"“Thanks, Kate,” Bill Bingley said, laying down a screw gun and flatfooting the Coke she handed him.",flatfoot,verb,3,"To gulp an entire drink (bottle, glass, can, etc.) without pausing between swallows.",,
177,a bastard musket,bastard,adjective,4,"Of abnormal, irregular or otherwise inferior qualities (size, shape etc).",,
3209,"Their raucous take on the beloved, iconic Israeli folk song allegedly drew the ire of the songwriter, Naomi Shemer, and inspired Yidcore to punk up Jewish culture in myriad ways over the course of the next decade.",punk,verb,5,To adapt or embellish in the style of the punk movement.,,
1986,"When bush was appointed Pres, guntards were overjoyed--for the first time in their existence, here was a figure w/national prominence who exemplified the central tenet of guntard ideology: that all conflicts can be solved with guns.",guntard,noun,1,A person obsessed with owning guns; a zealous supporter of the right to bear arms.,,
2943,“And pencil dick stayed with his wife.”,pencil dick,noun,2,A man with a penis of inadequate girth.,,
2466,"[…]  If you draw, Sir, there's one prospect up the river, by the mills—upon my conscience—but you don't draw?'No answer.'A little, Sir, maybe? Just for a maggot, I'll wager—like my good lady, Mrs. Toole.'",maggot,noun,3,A whimsy or fancy. [from 17th c.],,
1976,"""Ubiquitous"" means they are everywhere, ignorant gunfucker.",gunfucker,noun,1,A person obsessed with owning guns; a zealous supporter of the right to bear arms.,,
1106,"I turned, expecting to see some skirted, leering priest with a crucifix in his hands summoning us into his dogan den.",dogan,noun,1,"A Roman Catholic, especially one of Irish origin.",,
1831,Gingering is decided cruelty.,ginger,verb,3,To apply ginger to the anus of a horse to encourage it to carry its tail high and move in a lively fashion.,,
4448,TROLLS AND OTHER USENETARD BY ABUSING FLAMMING AND MALIGNING ANY MEMEBER OF THIS GROUP YOU ARE ABANDONING YOUR FAITHFUL CALLING AND CUSTOMER BASE YOU'LL ONLY HURT YOURSELFQUIT THIS INSTANT WHILE THE QUITTING IS GOOD,Usenetard,noun,1,A user of Usenet; a Usenetter.,,
207,"He'd be in the hospital a few days — broken collarbone, a cast on his arm, a beast of a headache — but fine.",beast,noun,6,Something unpleasant and difficult.,,
1211,"The corporate world has responded to a perceived threat to the economic order by casting the environmentalist as un-American, as an ecofreak...",ecofreak,noun,1,A person with a passion for protecting the natural environment; an ecological activist.,,
1080,I gave him a dink on my bike.,dink,noun,4,A ride on the crossbar or handlebars of a bicycle.,,
716,A Clintonoid would be able to easily dismiss it as just some sort of clerical error if it weren't so logically cohesive.,Clintonoid,noun,1,A Clintonite.,,
164,[…]  such rhetorical elision drew attention less to Aveling's literary and political insight than to his dubious borrowing of the all too available cloak of sentimentality in which Shakespeare was prone to be dressed by bardolators of the Marie Corelli school.,bardolator,noun,1,One who loves or worships the works of William Shakespeare.,,
1910,"But why do police become grass-eaters at all, if they lack the greed and contempt fo decency necessary to become meat-eaters?",grass-eater,noun,2,A police officer who accepts offered bribes but does not actively seek them out.,,
2365,"..., 29, is a follower of cultish, crypto-anti-Semitic pseudo-leftist Lyndon Larouche, also known as a LaRouchebag.",LaRouchebag,noun,1,A political follower of Lyndon LaRouche.,,
78,"“Someone posted on the Internet that Tom Waits was showing up. I guess they all figure if Tom Waits shows, Jim Jarmusch might show because he's shooting a film in Portland, and they figure if Jim Jarmusch shows, Johnny Depp can't be too far behind. So, therefore, you get all these loser artfags going to a see a band they've never heard of before tonight.”",artfag,noun,1,A pretentious artist or person interested in the arts.,,
2296,"Rats in the front room, roaches in the back / Junkies in the alley with a baseball bat",junkie,noun,1,"A narcotics addict, especially a heroin user.",,
4021,"There was a time when the “squish” manufactured by Mr. Frank Cooper at Oxford was not known very extensively outside the world of undergraduates. With the march of events though the fame of Cooper's Oxford marmalade has become world-wide, and the natural consequence is that a new factory has had to be built to cope with the increased business.",squish,noun,3,Marmalade.,,
4528,"Westoids loathe their own children, and their reaction to the Beslan massacre makes it pretty clear they aren’t more sentimental about others.",westoid,noun,1,An inhabitant of the Western world; a westerner.,,
631,"Yeah, ""Halfie"" I think it went that the cop was reading a note from the Chickenfucker, that said ""Sorry I had sex with your chickens"" or something. Then they said ""who would fuck a chicken"" and Halfie put up his hand. Then they said ""You don't count halfie, you don't have any legs"" But I think the middle part of my description is way wrong. Oh well",chickenfucker,noun,2,Someone who takes part in sexual activity with chickens.,,
1252,The angry demonstrators egged the riot police.,egg,verb,1,To throw (especially rotten) eggs (noun sense 1.1.1) at (someone or something).,,
2633,"[I]f these Vpstarts and mushrump nobles, were but permitted to bee about the Kings Person in his youth, they would afterwards by that meanes so purchase his favour, that they would become so powerfull, when hee should attaine to maturitie of yeares, that all the Honours, Possessions, and lines of the ancient Nobilitie of this Realme would bee in danger, to bee subject to their wills  […]",mushrump,noun,2,"Upstart, a person who has quickly and undeservedly gained their position, power or wealth.",,
4119,"My new job suits me, as I work fewer hours and don't have to commute so much.",suit,verb,5,To please; to make content; to fit one's taste.,,
2617,"The Bat—they called him the Bat. […]. He'd never been in stir, the bulls had never mugged him, he didn't run with a mob, he played a lone hand, and fenced his stuff so that even the fence couldn't swear he knew his face.",mug,verb,4,To photograph for identification; to take a mug shot.,,
749,"I'm not a big fan of government-binding syntactic theory in its extremes, but I still don't see why Chomsky is filed under prescriptivism. He is not a prescriptivist, or even a lousy commafucker .",commafucker,noun,1,A person who is pedantic about grammar.,,
2242,"This longtime West End eatery prepares chicken the way locals like it: curried, fried, jerked, and baked.",jerk,verb,8,"To cure (meat) by cutting it into strips and drying it, originally in the sun.",,
1326,"Again, the division of the higher forms of animal life into males and females—obnoxious as it is to the champions of the Woman's Rights Movement, and inconvenient as it proves to a certain class of world-betterers—can neither be abrogated nor explained away. There is, to be sure, a time in the life of hen pheasants, and other female gallinaceous birds, when they—in the magniloquent language of a weekly literary organ of epicœnes and garotters—""rise up and look their tyrant in the face,"" in the hope that, ""ever after, he will sit uneasily on his"" roost.",epicene,noun,2,"An epicene person, whether biologically asexual, androgynous, hermaphrodite, or intersex; an androgyne, a hermaphrodite. [from 17th c.]",,
2573,The woman who used to start the day with a Spin class with Suzanne turned into a mombie —a mom zombie who was a shadow of her former self. Showering was no longer important. Why bother?,mombie,noun,2,"A mother who is consumed by raising her children to the point of being sleep-deprived or simply obsessed, and hence zombie-like.",,
3085,"Policing the relationship between government and business in a free society is difficult. Businesspeople have every right to lobby governments, and civil servants to take jobs in the private sector. Governments have to find the best people to fill important jobs: there is a limited supply of people who understand the financial system, for example.",police,verb,1,To enforce the law and keep order among (a group).,,
4624,"Last year I came across a forum where wolfaboos believed that they were ""special snowflakes"" who where blessed with the ability to physically shape shift into wolves.",wolfaboo,noun,1,"Someone who is obsessed with wolves and identifies with them, especially a furry or otherkin.",,
4455,"The universal belief is, that a person sucked by a vampyre becomes a vampyre himself, and sucks in his turn.",vampire,noun,1,A mythological undead creature said to feed on the blood of the living. [from 1732],,
1270,"Many shave their entire head at the first sign of hair loss, believing that chicks prefer an egghead to a comb-over.",egghead,noun,2,A bald head.,,
3168,"Listen, pukeface — DRIVER. Yes?  CONTROLLER. 135? 135? Where are you? DRIVER. Don't have anything to do with 135.",pukeface,noun,1,"A contemptible, undesirable, or ugly person.",,
3159,"Oh, she's sweet but a psycho / A little bit psycho / At night she's screamin' / ""I'm-ma-ma-ma out my mind""",psycho,adjective,1,Psychotic or otherwise insane.,,
2983,"She built a reputation as a piece of work; if she didn't like a crowd, sometimes she'd walk off stage in midset and call a cab home.",piece of work,noun,2,"A person who has a strong and unusual personality, especially one with seriously unpleasant character flaws (e.g. a nasty piece of work). (This sense came about due to Hamlet’s monologue (see sense 1 above)).",,
2478,"“Funnily enough ‘mallgoth’ was meant to be a bit of an insult,” explains Trinity Levy, the Arizona-based high school senior who started the Instagram account @1990smallgoth. “Being called a mallgoth was the equivalent of being called a poser. The purpose of it was to describe the kids who loved Marilyn Manson and bought Tripp pants from Hot Topic back in the day, but still identified or were seen as goth. I'd say that that broad description is still true at its core. Despite its name, it doesn’t have anything at all to do with the goth subculture besides sharing a few aesthetics.”",mallgoth,noun,1,"Originally (derogatory), an inauthentic or trendy goth; now, a person who dresses in goth-inspired clothes, is interested in industrial metal and nu metal music, etc.",,
692,Jason wouldn't shut his clam about the invaders.,clam,noun,9,mouth (Now found mostly in the expression shut one's clam),,
390,an army brat,brat,noun,1,A human child.,,
3769,Gorgeous Bare Slore ~ALERT,slore,noun,1,A very sexually promiscuous person.,,
2136,"She also heard boys from other classes behind her talking: “So, Teacher Tang is a female hooligan.”",hooligan,noun,1,A person who causes trouble or violence.,,
2458,Your article on England's regional accents confirmed that Geordie has already completely replaced the mackem-speak of Sunderland and other variants in the north-east.,Mackem,noun,1,"A native or inhabitant of Sunderland, England.",,
2681,"All this requires some very careful unpacking, for obviously, Dr. Bosse is “speaking Nazi with the Bormann dialect.”",Nazi,proper noun,1,The language (ideological jargon) of Nazis.,,
4302,Claudia is such a tramp; making out with all those men when she has a boyfriend.,tramp,noun,2,"A disreputable, promiscuous woman; a slut. [from 1922]",,
232,"I'm no bible basher looking to discredit everything I hear, but there is one point that might be interesting to argue...If the bible is the Word of God, which version or language is the official Word, as the meanings change subtley[sic] from one to another?",Bible basher,noun,2,"A person who finds fault with the Bible, Christianity, or Christian teaching.",,
2191,…I've got illegals in my bottom…!,illegal,noun,2,"Contraband, esp. illegal substances such as drugs.",,
2097,St. Andrews — in case you're not up on such weighty matters — is the hoity-toity school where the heirhead they call Wills  will soon begin studying for his history of art degree.,heirhead,noun,1,The foolish heir to a large fortune.,,
1421,"It is now some five years since I conceived the idea of writing a history of my fellow-countrymen in Australasia, but it was only within the last year or two that I could find sufficient time to make any material progress with the undertaking, although I had been collecting the materials for some period in advance.",fellow,noun,4,"A person or thing comparable in characteristics with another person or thing; especially, as belonging to the same class or group.",,
3278,"Ad Hoc Softwares has bright hand-blocked floral cotton bed linens from India, including flat full/queen sheets, were $85, now $51; standard pillowcases, were $18 each, now $10.80  […]",queen,noun,16,Pertaining to a queen-size bed or queen-size bedding.,,
280,"Oscar pondered for a while, then said, ""Oh, but halfcastes don't seem to be any good at all. All the men here are loafers and bludgers, the women practically all whores.""",bludger,noun,1,"A pimp, a man living off the earnings of a harlot.  [From 1856.]",,
1800,that feel when literally one inch of jaw bone decides whether im a twinkhon or a gigapassoid,gigapassoid,noun,1,A transgender person who passes extremely well.,,
3776,"""Yas'm,"" said Prissy and, turning, sauntered down the walk at snail's gait. ""Hurry, you slowpoke!""",slowpoke,noun,1,A person who moves slowly or takes a long time to do something.,,
2709,"They particularly enjoy making fun of one of their fellows who is not present, whom they consider a hopeless nerd – until, that is, they learn he is engaged to marry the boss's daughter.",nerd,noun,1,A person who is intellectual but generally introverted.,,
3350,Fez′s resolutions: […] 3. I will not call Blue ‘Ranga Girl’.,ranga,noun,1,An orange-haired or red-haired person.,,
2923,"So you go to see this peeper, this Marlowe. That was your mistake.",peeper,noun,3,A private detective.,,
545,"Essentially, lawmakers replaced the sticks with carrots.",carrot,noun,3,Any motivational tool; an incentive to do something.,,
3814,"When asked about his Irish name, and how he came by that, McCracken replied ""I's smoked Irish, Judge, just another smoked Irishman.""",smoked Irishman,noun,1,A black man.,,
4201,"Whoa Scott, you really shouldn't be eating Janet's donuts!Haha, don't worry, miss ""thunder thighs"" could do without the extra--",thunder thighs,noun,2,"A person, usually a woman, with fat thighs.",,
1957,"I wonder what her pubic hair looks like. Perfectly manicured? A strip. She seems like a groomer. I down the glass as if it's a shot. The wine floats through my chest, warming me. Must stop imagining Kimmy's pubic hair. Brown pubic hair.",groomer,noun,6,A person who cares for their personal appearance and hygiene (grooming).,,
2606,"The paper gave a start to the theater critic Hilton Als and the novelist Colson Whitehead, both recipients of the Pulitzer Prize. Its resident muckraker, Wayne Barrett, took aim at New York developers and politicians for nearly 40 years, and his obsessive work on Donald J. Trump has become a resource for reporters covering the president today.",muckraker,noun,1,One who investigates and exposes issues of corruption that often violate widely held values; e.g. one who exposes political corruption or the poor conditions in prisons.,,
1768,He was a bit of a geezer. Used to box with the Krays when he was a young 'un.,geezer,noun,2,Someone affable but morally dubious; a wide boy.,,
1733,There is a function for the gadfly who poses questions that many specialists would like to overlook. Polemics is healthy.,gadfly,noun,2,A person or thing that irritates or instigates.,,
171,"Poor bastard, I feel so sorry for him.",bastard,noun,5,A person deserving of pity.,,
2154,"This abovementioned Chandoo or prepared opium for smoking is retailed by them [the East India Company] at 5 pice per hoon, equal to 8000 Spanish dollars per chest, and on the opposite or Queda shore the hoon is sold at 6 pice or 9,600 dollars,  […]",hoon,noun,5,"A unit of weight (about 0.378125 of a gram, or 0.0133 of an ounce) used to measure opium in British-controlled parts of Asia; a candareen.",,
4028,"Yet, incels want nothing more than to finally be desired by and be with a Stacy.",Stacy,noun,1,An attractive woman who is sexually active.,,
